ncorrect,correct
干干淨淨,乾乾淨淨
干乾淨淨,乾乾淨淨
干淨,乾淨
干躁,乾躁
干癟,乾癟
干竭,乾竭
煮干,煮乾
放干,放乾
干黃,乾黃
干杯,乾杯
干著急,乾著急
干一杯,乾一杯
對著干,對著幹
一裡,一里
二裡,二里
三裡,三里
四裡,四里
五裡,五里
六裡,六里
七裡,七里
八裡,八里
九裡,九里
十裡,十里
百裡,百里
千裡,千里
萬裡,萬里
兩裡,兩里
餘裡,餘里
余裡,餘里
幾裡,幾里
數裡,數里
多裡,多里
公裡,公里
反反復復,反反覆覆
反反覆復,反反覆覆
反復,反覆
重復,重複
復雜,複雜
髮生,發生
髮出,發出
矮幾,矮几
茶幾,茶几
案幾,案几
母後,母后
皇後,皇后
帝後,帝后
後妃,后妃
舍去,捨去
舍得,捨得
舍不得,捨不得
取舍,取捨
宿捨,宿舍
女捨,女舍
茅捨,茅舍
田捨,田舍
寓捨,寓舍
草捨,草舍
放松,放鬆
輕輕松松,輕輕鬆鬆
輕輕鬆松,輕輕鬆鬆
輕松,輕鬆
白發,白髮
黑發,黑髮
紅發,紅髮
灰發,灰髮
銀發,銀髮
金發,金髮
發絲,髮絲
發式,髮式
發間,髮間
發茬,髮茬
華發,華髮
毛發,毛髮
枯發,枯髮
長發,長髮
短發,短髮
濕發,濕髮
結發,結髮
發蠟,髮蠟
齊發,齊髮
毫發,毫髮
發箍,髮箍
發簪,髮簪
長須,長鬚
短須,短鬚
白須,白鬚
紅須,紅鬚
銀須,銀鬚
黑須,黑鬚
灰須,灰鬚
鬍須,胡鬚
撫須,撫鬚
根須,根鬚
捻須,捻鬚
獸須,獸鬚
白面無須,白面無鬚
鬍子,胡子
鬍茬,胡茬
鬍渣,胡渣
刮鬍子,刮胡子
鬥笠,斗笠
鬥篷,斗篷
戰斗,戰鬥
鬥轉,斗轉
升鬥,升斗
楷貼,楷帖
書貼,書帖
碑貼,碑帖
鉆,鑽
髒腑,臟腑
五髒,五臟
內髒,內臟
心髒,心臟
肺髒,肺臟
腎髒,腎臟
聯繫,聯系
采納,採納
采用,採用
采集,採集
采摘,採摘
征兆,徵兆
象征,象徵
像征,象徵
啰嗦,囉嗦
羅嗦,囉嗦
腌臜,骯髒
骯臟,骯髒

疆 韁   提 馬 收
蔔 卜   卦 占 蘿
志 誌   異 雜 標
谷 榖   辟 五 稻 打
卷 捲   龍 動 起 袖 微 風 席 入
注 註   腳 意 關 定 視 賭 專
余 餘   剩 力 辜 空 殘
面 麺   煮 吃 團 條 素 前 雞絲
黃連 黃蓮   向往 嚮往   陰域 陰欎   隨著 睡著   迂回 迂迴  時間  恭喜  顯然 
髒 臟   困 睏   像 象   濕 詩   姜 薑   嘗 嚐   餵 喂   家 傢   雲 云   鉆 鑽
欲 什 隻 陰 淫 局 背 盡 系 致 泛 視 幸 照
像 象 相 想     伐 筏 劃 划     陵 凌 翎 綾     干 乾 幹    當 噹 擋    另 令 零



https://panel.dolufilmizle.com/embed/FX881M6NC3

Windows 10: NWV8Y-KDJGQ-HYJTT-6FDRH-B7VYY
